text,emotion
زیر پست تسلیت طرف در مورد سانحه مرگبار سنندج، طرف نوشته: «باز اعتراضات زیاد شد، جمهوری اسلامی یه عده رو کشت»! این حجم از بیاعتمادی و خشم نسبت به حاکمیت واقعا ترسناکه.,fear
قضیه چیه هر چی خبرنگار #اصلاح_طلب فالو داشتم توییت حمایتی از #کیروش زده، یعنی ته روشنفکریتان اینجاست که هر کسی با مسئولان مخالف باشه را باید ستود، یا همه تون استقلالی هستید احیانا، راستی دست به دامن شدنش به رهبر با آرمانهاتون مشکلی نداره.,surprise
واقعا چجوری 12 سال تمام 7صبح پاشدیم رفتیم مدرسه!اونم تو سنی که بیشترین نیاز رو به خواب داشتیم! عجیبه,surprise
ضرغامی: در جریان دی ماه 96 در جلسه شورای عالی امنیت ملی روحانی دستور فیلترینگ تلگرام را صادر کرد. آیا سلبریتی های بنفش، پمپاژکنندگان امید کاذب، دنباله رو های شیخ تکرار و تئوریزه کنندگان قلمی حامی #اعتدال و #اصلاح سخنی، حرفی ندارند؟! #اصلاحات_دروغین,anger
خوراکشون فرار از وظایف اصلی و پرادختن به خواشیه. اینا تخصص شیفت صورت مسئله دارن. چهل ساله انگشتشون به سمت آمریکا و دیگر کشورهاست. هیچ مسئولیت گندهایی رو که زدن نپذیرفتن,anger
یدفعه ناراحت شدم که فردا میرم پادگان ^_^ …,sadness
با گریه به مامان زنگ زدم و تنها واکنشش این بود که داد زد: آدم بابت پنچری زر نمیزنه! منم فحش دادم گوشی رو قطع کردم. بابام هم برام شماره امداد خودرو رو فرستاد. حس بدبختی مطلق داشتم اون لحظه درحالی که واقعا هم اتفاق خاصی نیوفتاده بود.,sadness
فکر نمیکردم ترکیب مرغ و پیاز و کرفس و زعفرون اینقدر خوشمزه بشه. آفرین,happiness
بنزین گرون شه همون تفریح کوچیک آخر هفتهم که می رفتیم یه وری تموم می شه,sadness
با هم بودن اغاز است! با هم ماندن پبشرفت ! با هم کار کردن موفقیت....... مثلث پیروزی,happiness
هر کلمهای که از این رسانه مزدور خارج میشه نفرت میلیونها ایرانیُ در پی داره! در منفور بودن یک شبکه تلویزیونی شما رکورد زدین آقایان و خانمهای شاغل در بیبیسی فارسی! امیدوارم این حجم از منفور بودن حداقل در کتاب گینس ثبت بشه! #با_پهلوی_تا_همیشه این هشتگ صرفا جهت سوزش بيشتر …,hate
رادیومجلس،تریبون واویلا بود واویلا برای ملت در #استیضاح_کرباسیان شرم برای اصلاح طلبان دوران احمدینژاد زد و بند،رانت،فامیل بازی بود صدای ما بلند بود که آخ #اصولگرایان_کاسب! حالا چه بگوییم؟ آخ #اصلاحطلبان_کاسب؟ هرکسی مجلس شنید و دستش از حجم فسادمشت شد،نمی تواند عصبانی نباشد,anger
این راننده خطی انقدر باشعوره که صدای آهنگ رو کم میکنه که بقیه اذیت نشن. آفرین مرد.,happiness
ليلا حاتمى: در كشور من مردم به قيمت جونشون ميتونن اعتراض كنن... ارزشيا: غلط كردى دروغگوى فاحشه بذار بياى ايران خودفروش جرت ميديم! حكومت بايد مشت محكم بزنه تو دهن اين زن! بله حق با شماس پدسگاى دموكرات #لیلا_حاتمی,anger
یعنی بریم بانک بگیم کارت هدیه میخوایم؟ اینو بگیم خداوکیل مامور بانک همونجا نمیزنه زیر خنده؟؟,surprise
یه وقتا انقدر آدم زندگیش غمناک میشه که دوس داره یکی یهو بگه ؛ کاااات .... عالی بود عااالی.... خسته نباشین بچه ها واسه امروز بسه !! :),sadness
«تو راه پر از قفس بود آب، خون دل و نفس، دود فریاد میزد غم از تو من پرواز عین پرستو»,sadness
با ظهور ج.اسلامی تمام سرگرمی و تفریحات سالم و شاد جامعه ممنوع شد نتیجه/تبدیل جامعه ایران به غمگین ترین و خشن ترین جامعه درجهان به گفته ٭مایک پمپیو٭ #چهل_سال_شکست,sadness
کارگری که برای بازکردن راه آب در فاضلاب فرورفت و روی مسوولان را سیاه کرد: مسئولان فقط برای عکس یادگاری به من سر نزنند.اسمش #طارق_زرگانی است.۳۱ساله است و دیپلم دارد.پس از مرگ پدر در کنار مادر و خواهرش زندگی میکند و از ۶ سال پیش در دهیاری قلعه چنعان،حوالی اهواز، کارگر خدماتی است,sadness
واقعيت غم انگيز جهان ما,sadness
ما از وحشت نمیمیریم، از استرس میمیریم از استرس برای فردای خودمون,fear
من یک دختر هستم که 2ملیون ندارم عمل جراحی کنم بخاطر مریضیم و 1ساله دارم درد میکشم و تحمل میکنم سال پیش با حال بدم توی دی ماه رفتم تضاهرات ولی باز هیچی همه ساکت شدن و زندگی ادامه داره,sadness
"در صف اول انتقاد از نتیجه گرایی قرار دارم اما خودم خدای نتیجه گرایی ام یعنی چی که ""که چی"" مرگ ""که چی"" گوساله درد ""که چی"" مثل بقیه زندگیتو کن",anger
شما الان برو تو خیابون به خدا فحش بده.... شاید 1% احتمال نجاتت باشه...بعد برو به رهبر فقط یه انتقاد کن...از یه جاهایی سر در میاری که اصلا فکرشم وحشتناکه پشمای خود فرعونم ریخته,fear
برای اولین بار صدا سیما چیزی پخش کرد که باید با آب طلا نوشت و بر در و دیوار قاب گرفت! درود بر شجاعت کارشناس شبکه ۴!,happiness
#سعید_جلیلی رفته با کامیونداران معترض دیدار کرده، به «سوء استفاده بیگانگان» اشاره کرده و گفته: «دشمن از پایداری و وفاداری شما عصبانی است». نمیدانم کی شما را فرستاده آنجا؛ ولی کسانی که به دیدارشان رفتهای در اعتراض به آمریکا و اسرائیل اعتصاب نکردهاند! عصبانیترشان نکن,anger
خواستم از فاصله ۱۱۸۷۲ کیلومتری برای تکتک مردم کف خیابانهای ونزولا آرزوی موفقیت کنم و بگم هزینههای آزادی، سرمایه گذاری برای نسل آیندهاست درود بر آزادگانِ کف خیابانیِ ونزولا #VENEZUELA,happiness
یه حجم زیادی از جیغ و داد و غر زدنای بی دلیل تو وجودم گیر کرده ! صبر و تحملم دیگه به نقطه ی نزدیک صفر رسیده رسما ! بدترین بخش این حس و حال اینکه مقصرش کسی نیست جز خودم !!!!,sadness
مسئولان دولت، مجلس و قوه قضائیه! روان و رفتار مردم را پریشان کرده اید! وقتی در رسانه ها، شاهد وعده های شمایند، ولی، عملی را شاهد نیستند! هر روز اخبار اختلاس، دزدی دانه درشت ها و آقازادگان را می شنوند اما، برخورد جدی با خاطیان را نمی بینند! #مردم_گله_مندند #حساب_مردم_جداست,anger
واقعا ادم حیرت میکنه از این سخنان نابخردانه,surprise
خوش بخت ترین آدم ها آن هایی هستند که در طول عمرشان حداقل یک بار صدای او را شنیده باشند. شنیدن صدایش آدمی را قدم قدم به عاشق شدن نزدیک می کند. هیچ بغضی توان نشکستن مقابل غم صدایش را ندارد. اعتراض بخشی از روح اوست و امید بخشی از جاودانگی اش. زادروزت مبارك اسطوره موسيقي ايران,happiness
واقعا حال به هم زنه اين حجم از داستان سرايي درباره تجاوز يا چيزهاي شبيه به اون برا جذب لايك و توجه,hate
اولین گعده توییتریهای شهرری رو برگزار کردیم و کلی گپ زدیم دور هم و کلی خوش گذشت تشکر از عزیزانی که منت گذاشتن و تشریف آوردن و خدا قوت به بانیان جلسه:) از این به بعد مطالب مربوط به دورهمی توییتریهای شهرری با هشتگ #ری_توییت منتشر میشه، خوبه، نه؟,happiness
تو کف خیابونهای ایران ملت شعار مرگ بر روحانی و مرگ بر خامنه ای میدن. بعد روحانی آمریکا رو از خوشه های خشم مردم ایران می ترسونه. #IraniansWantRegimeChange,fear
روحشان شاد یادشان گرامی♥,sadness
محبت چشمه ایست از جنس نور هم ارادت هم سلام از راه دور شب همگی بخیر خداوند یار و یاور تان هزاران درود,happiness
آفرین این خوبه اگه فیلم رو میخواین ببینین اول این مطلب رو بخونین #FantasticBeasts2 …,happiness
واقعا ناراحت كننده اس واقعا مسولين اينارو نميبينن؟؟ بعله اقاي دكتر پروفوسور ظريف بايدم بكه افتخار ميكنيم چون هيچي كم نداره .. چون از مردم نيست ك بفهمه واقعا حق ما نيست اين بلاها سرمون بياد وقتي ك تو نعمت الهي غرق شديم,sadness
ولی این درست نیست ک اینقد من ناراحت باشم هربارو هر دفعه :),sadness
یه زمانی دخترخالهم میگفت یاد گرفتن زبان آلمانی زیادم سخت نیست. انگار کن انگلیسی رو تر زدن توش. اما الان که قصد یادگیریش رو دارم، حقیقتاً گرخیدم. نمیدونم سهماهه میشه به اون حد لازمش برسم یا نه,fear
این همه دنبال پول و موفقیت میدویم تهش چی میشه؟ هر روز که میگذره بیشتر میفهمم که پول فقط و فقط چرک کف دسته.,sadness
درود به شرفت تو خفقان سلبريتى ها تو صداى مردمت شو,happiness
ادمی بسیار منفور که داره به دخترای دهه ۶۰ توهین میکنه. ادم تا کجا باید حقیر باشه اینکارو بکنه تا کجا باید حقیر باشی به روی یک نسل اسم بزاری  …,hate
دلتنگم، آنچنان که اگر بینمت به کام خواهم که جاودانه بنالم به دامنت شاید که جاودانه بمانی کنار من ای نازنین که هیچ وفا نیست با منت تو آسمان آبی آرام و روشنی من چون کبوتری که پرم در هوای تو یک شب ستاره های تو را دانه چین کنم با اشک شرم خویش بریزم به پای تو,sadness
شهادت دو تن از ماموران غیور انتظامی استان خوزستان را تسلیت عرض میکنم. لعنت خدا بر تروریست ها خواهشمند برای انتقام خون شهدا #مادر_آرزوها #شهادت #مرگ_بر_منافقین_کافر,sadness
فیلم تنگه ابوقریب را دیدم جدا از بازی عالی عزتی و آذرنگ و بازی بد جدیدی، اثر درباره یک گردان قهرمان هست که در انتهای جنگ خوزستان را ازمعرض اِشغال نجات میدن،اما هرگز قهرمان نمیسازه. اینکه برخلاف هالیوود، چرا سینمای ما قهرمانانمون را شکنجه میکنه و میکشه برام سواله. امتیازم ۷ از ۱۰,surprise
#رامبد_جوان یه ویدیو داده و بطورجدی مسئولین رو خطاب قرار داده ک تا کی اخه این همه حادثه غم انگیز... فک نمیکنه ی شخصیت مهم رو از قلم انداخته؟,sadness
یکی این حجم غم رو از روم برداره برم به زندگیم برسم,sadness
با توجه به سابقه ی بابام در این اینکه مسواک اشتباهی میزنه و تشخیص و شناخت مسواک خودش سخته براش،از وقتی مسواک جدیدم همرنگ مسواک بابام شده یه ترس تمام وجودم و گرفته هی استرس دارم:////,fear
ما میریم هر روز هر دقیقه هر ثانیه با اجبار ها با دوست داشته نشدن ها با خشم ها با نفرت ها با گرانی با بدحالی دوشنبه ها با غروب جمعه با هوایِ گرم با ترک شدن با بی توجهی با تنهایی با درک نشدن... ما مدام در حالِ مردنیم و سهوا نام این مردگی رو گذاشتیم زندگی,sadness
امشب نه تنها تو ماشین شراب خوردیم و با آدمای جدید معاشرت کردم و خوش گذشت، بلکه یکم به درست شدن زندگی ایمان پیدا کردم.,happiness
بارهای زیادی بازار تهران رفتم ولی هر بار که میرم فقط یاد اون باری میوفتم که یه عصر سرد زمستونی پنجشنبه وقتی خیلی غمگین و دلتنگ بودم تنهایی رفتم اونجا. تو بازار و مسجد امام قدم میزدم و تصور میکردم که وسط نقش جهانم. بعدشم به رسم روزهای اصفهان یه شیرکاکائو داغ خوردم با یه عالمه بغض,sadness
خودتو ناراحت نکن عزیزم,sadness
چیزی به ذهنم نمیرسه فقط میتونم فحش بدم. #IraniansWantIRIBban,anger
"خدایا شادی رو از مردم ما نگیر... اینکه بابت فوتبال کل کل می کنیم یعنی ... یعنی... یعنی خوبه ,یعنی خدا رو شکر",happiness
سلام -درود بر شرف شما,happiness
بسی حرص خوردیم در این سال چل، ز مسئولِ زندیقِ عیّاشِ وِل! سوالی که پرسیده بودیم را بدادست پاسخ: که این، اِل وَ بِل جوانیمان جای خلد برین هدر گشته دراینسْتاگرام و تِل! و یاجمعه شب، توی کردان کرج سری گرم داریم به پارتی و رِل! رسانید خودرابه داد جوان که در حال مرگ ست در موج سِل,sadness
مچ پام درد میکنه و عصبیم کرده ورزش کردن هم درد سر داره همه ش,anger
#علی_کاظمی هم اعدام شد. خبر این بار هم کوتاه بود، به کوتاهی عمر تمام کودکان محکوم به قصاص... و قصه کوتاهی مسئولان کشور، طولانی ترین قصه سرزمین ماست.,sadness
در بازرسی سازمان تعزیرات، یک شرکت لبنی معروف به علت گرانفروشی ۶ میلیارد و ۸۹۶ میلیون تومان جریمه شد. مسئولان این شرکت بعد از جریمه شدن رسما اعلام کردند قیمتها را پایین نمیآورند! #گردنم_کلفته,surprise
خوبه از بخاري لذت ببر چون چند وقت ديگه همينم ازت ميگيرن ميفرستن برا سوريه و عراقي كه به قول شماها عامل خون شهدا بودن.,anger
یه وقتایی به یه سری محبت می کنی ،چون دوستشون داری ،دوست داری لباشون بخنده شاد باشن،محبت کردنت هم آدم به آدم فرق می کنه. هر کی یه مدلی . تهش که میگذره و برمیگردی به عقب میبینی تنهاتر از همیشه با محبتهای یک طرفه ات موندی و آدمها خیلی سرشون گرم دوست داشتنی های خودشونه. دلگیره.خیلی,sadness
چی میشد من انقدر مودی نبودم.تا ۵ دقیقه پیش شاد بودما.الان غمگین ترینم.:((,sadness
"واکنش و حیرت زدگی ""آمره بوجلن""استاد و پژوهشگر موسیقی ترکیه نسبت به صدا و حنجره همایون شجریان در تیتراژ فیلم آرایش غلیظ اثر حمید نعمت الله....",surprise
بابت موفقیت جناب کوچر بیرکار خیلی خوشحال و مسرورم اما خب افرادی مثل اون باعث هستند که خیلیها با شرایط خوب نمیتونند و نتونستند ویزای توریستی/کنفرانسی انگلیس بگیرند، چرا افراد اینطوری رفتند و رو ویزاشون تقلب کردند و برنگشتند و دولت انگلیس دهها برابر سختگیرتر شده.,happiness
خدایا تو پست ما نمیخورن اینجور لحظه ای برسیم جر به جر بدیم واسه دو تا دخنر شیر شده میگه شوکر نزدمت انگار با کماندو طرف شده عوضی ابی ،،خاک تو سر مردی که اونجا بوده و بیخیال ترسو مونده,anger
1.پول خوشبختی نمیاره ولی بی پولی قطعاً بدبختی میاره 2.با پول نمیشه همه چی خرید ولی بابی پولی قطعاً همه چیو ازدست میدی( مثل آبِرو),sadness
خیلی حالت تخمیایه که یهو بهت بگن فلانی ر میشناسی میگی آره میگه تعطیلات رفته آلپ کوهنوردی میگی عه خوشبهحالش دمش گرم میگه براش حادثه پیش اومد و کشته شد و تمام به همین سادگی تموم شد به نظرم مرگ همین پشت دره کِی در میزنه روحت شاد سینا پورویسه,sadness
درود بر شرف آریایی ات آقای هومن سیدی. عجب فیلمی بود این مغزهای کوچک زنگ زده,happiness
استادم میگه: شوهر اگه به زنش بگه چند ماه از خونه بیرون نرو زن نباید بره من میگم: استاد اگه زن هم به مرد بگه بیرون نرو باید مرد هم بیرون نره استاد لبخند میزنه و میگه: زن با مرد فرق داره همین بی احترامی بزرگترین خشونت ممکنه #زنان_را_بشنوید,sadness
آفرین پرسپولیسیها به یکی از آرزوهای زندگیشون رسیدن و ناکام از دنیای فوتبال نمیرن ؛) امیدوارم اون ستاره روی لباسشون معنی پیدا کنه.,happiness
در هر نقطه از این کشور میتوان #سیرجان را دید. #خشونت_علیه_زنان در این مرز ریشه کرده و بد بحال کسانی که این درخت کهنِ مسموم را همچنان آبیاری میکنند. خشونت در هر شکل محکوم است.,sadness
دم اخری  از ترس کونشون وحشششششی شدن رم کردن بدبختای جانی,anger
سوال جدی از مسئولان برای کاهش دلار ده هزار تومانی برنامه ای هم دارید یا نه؟ قرار است تا چه مدت این دلار ده هزار تومانی و قاعدتا قیمت اجناس براساس این قیمتها را تحمل کنیم؟ کلا نسبت به رفاه و زندگی مردم احساس تعهد دارید؟,anger
من از بین موجودات از گاو خیلی میترسم.چون هم عقل ندارد هم شاخ دارد.حیوان هم هست.,fear
شرم نمکنید زُل میزنید تو چشام دروغ میگید:)))) تظاهر میکنید به مظلومیت ک چی؟ جنگ روانیع مگ؟ خاک برسرتون,anger
نگاه مادی به آموزش و پرورش و پایه بی عدالتی آموزشی،برمی گردد به زمانی که فرزندان #ژن_برتر مسئولان مملکت دیپلم را درایران گرفته،برای اخذ مدارک عالیه به غرب و یا آمریکا می رفتند،با این تز که دربازگشت بجای پدرانشان،وزیر یا معاون وزیر گردند و مدیران ارشد کشور گردند #مدرسه_بنگاه_نیست,sadness
#فیلم #عطش_مبارزه، داستانی فوقالعاده عمیق که تو آینده اتفاق میفته.آینده پر از مردمانی بیاحساس و فارغ از هرگونه حس انسانیت و دیگردوستی، که برای تفریح و هیجان خودشون قشر فقیر رو وادار به کشتن همدیگه میکنه، یه جورایی برگشت به گذشته مثل زمان گلادیاتورها! #HungerGames,sadness
واقعا غم انگیزه.داریم بخاطر برداشتن حجاب اجباری میجنگیم.,sadness
تو هر شبکه اجتماعی ک میری میبینی مردم دارن همو میخورن، یا دارن فحش میدن یا انتقاد نابجا همه افتادن به جون هم بسسسه بابا چتوونه چتوووووونه چیکار دارین به بقیه!!!,anger
"شبکه سوم سیما با پخش #مستند های "" خارج از دید""یک گام به سمت رسانه طراز #انقلاب اسلامی برداشت! آفرین شبکه ۳، آفرین به نقویان!",happiness
انقد شیخ آقازادگان شلوغکاری کرد یادم رفت تولد #سید_محرومان رو تبریک بگم تولدت مبارک مرد حقیقت ها.. #وحانی_پشیمانیم #رئیسی #سید_ابراهیم_رئیسی,sadness
شیفت شب آشغالترین اتفاق کاریه ، امشب شیفت نبودم و تا الان در میخانه ها ولو بودم چقد خوش گذشت از هفته دیگه کلا شیفت صبم این شهرو به لجن میکشم :))) بیجنبه ام میدونم,happiness
بشین تا بیاد خیلی ابلهین واقعا ????چطوری میتونین انقد احمقیت داشته باشین نکنین خدایی خیلی خنده داره شاهزاده؟؟!!?????????????,anger
هروقت این فیلم ها یا تصاویر رو میبینم دلم میگیره میگم ای کاش منم اون زمان بودم لااقل چند سال معنی شاد بودن و درک میکردم . هزاران آه و حسرت ... کجا بودیم به کجا رسیدیم . آینده ما رو جوری تباه کردن که ... افراد مسن تو این فیلم ها از 20ساله های ما شاد تر بودن .,sadness
بی خجالت گریه کن آسمان سرخ وحشی زیبا ... #شب_تهران,sadness
آفرین به اون آقایونی که از اون خانم حمایت کردن. اگر متحد باشیم اینا هیچ غلطی نمی تونن بکنن، اتفاقا آخوندها از همه ترسو ترن . قبلش خیلی هارت و پورت می کنند ولی اگر پاش بیوفته زودتر از همه فرار می کنند. فقط اتحاد,happiness
یه خواب بد دیدم، شب که پریدم از خواب قلبم به حدی تند میتپید که احساس کردم ممکنه سکته کنم,fear
بعضی آدمای دور و بر اینقد گاون بمیری هم اموتیکون خنده رو برات میفرسان,anger
حنا ، بزرگ شدی شاید این کوت رو دیدی خاله، ببین کی بهت گفتم! وقتی که جوانهامون سر به دار میشدن و مردممون داشتن از گرسنگی میمردن وقتی که به دخترهامون تو ایرانشهر تجاوز شد و هنوز کسی نمیدونست #ویدا_موحد کجاست ، بزرگترین دغدغه مامانت التماس واسه رفتن به استادیوم بود!  …,sadness
توفیق اجباری ای که سفر امروز بهم داد میتونه قشنگترین تجربه ۲۰ سالگیم باشه رفتن به گرگان همیشه حالمو خوب کرده مطمئنم این سری هم باعث حال خوبم میشه,happiness
زنگ زدم به وحید شمسایی تا پست جدید را به او تبریک بگویم. بحث به سمت اختلاف بهدادسلیمی و فوتبالیستها کشیده شد جالببود اسطوره رشتهفوتسال باآن غرور همیشگی که از او سراغ داریم گفت فوتبال یک ورزش خاص است و قابل مقایسه با هیچ ورزشی نیست. گفت فوتبالیستها هر چقدر میگیرند نوش جانشان,surprise
وقتی جناب #پهلوی به جای اینکه سوال کنن که گوشت توی هواپیمای ارتش چه میکرده به مقصد قرقیزستان!؟ از کی تا حالا ارتشیا صادرات گوشت میکنن!؟ ایا خلبان میمون بوده یا هواپیما سیستم ناوبری نداشته که فرودگاهها رو تشخیص نداده؟! اومده مثل یکی از اعضای رژیم تسلیت میگه حق بدین اعتراض کنیم …,anger
ديشب در ادامه حضور پر رنگ زنان در سي و سومين جشنواره فيلم فجر بانوي بزرگوار #نزهت_امیری رهبري اركستر را بعهده داشت. حضور اثربخش زنان هنرمند در موسيقي را باور كنيم. درود بر زنان افتخار افرين ايران. درود بر هنرمندان سرزمينم.,happiness
وقتی یکی از عزیزانت دردش میگیره انگار اون درد داره به تو وارد میشه. انگار اون زخم روی تن و روح تو باز شده. خیلی عجیبه خیلی,surprise
خیلی جلوی خودمو گرفتم عکس نگیرم از اینایی که با costume اومدن مترو. یکیشون لباس spiderman پوشیده به طور کامل، اون یکی کت شلوار تنشه ماسک ترسناک زده,surprise
به عنوان کسی که چندین سال سگ داشت و مجبور بود همیشه تو خونه تنهاش بذاره میگم: تا وقتی شرایط مملکت اینه،سرپرستی این زبون بسته ها را قبول نکنید،اینا احتیاج به تفریح و پیادهروی روزانه دارن,sadness
#نعمت_الله کودک ۱۳ ساله که در #تظاهرات_کابل از ناحیه پا مصدوم شده بودچندی پیش پایش را قطع کردند اما متاسفانه به دلیل بی توجهی پا عفونت کرده و کودک هر چه زودتر باید به هند فرستاده شود. مسئولان امرجنسی با وقاحت به پدر کودک گفته اند به فکر درمان نباش ، امادگی کفن و دفن بگیر.,sadness
من از سال ۹۰ بارها به شرایط کاریم اعتراض کردم ،هیچ صدایی برای بهبود شرایط، هم صدام نشد. نتیجه من از چند تا شرکت اخراج شدم ،افسرده و سرخورده نه برای اینکه کارمو از دست داده بودم از اینکه ترس نان شرافت رو کشته بود ، #آزادی در یک جامعه فقط با صدای کارگران به دست میاد #هفت_تپه,sadness
واقعا بزرگترين تفريح زندگي من تا مدت ها اين بود بعد كار و كلاس يه نخ سيگ بكشم يه چايي دارچين بخورم يكمم قدم بزنم اهنگ گوش بدم اونوقت دوستاي من بيست و چهار ساعت خوشگذروني ...خدايا شكرت,sadness
یه سری رفتارهای جمعی تو ما هست خیلی عجیبه، طرف بیزینس میزنه فحش میخوره، پول در میاره فش میخوره، سلبریتی میشه فش میخوره، ماهواره پرتاب میکنه میوفته فش میخوره و باهاش یه سری خوشحال میشن، چطور ممکنه؟ بعد فرداش از پیشرفتهای ایلان ماسک تو خر کردن ملت استوری میذارن جل الخالق.,surprise
من بلاخره تونستم گوکل استور رو گول بزنم و برنامه هایی که تحریم کرده برا ایران رو نصب کنم خوبی اپ استور آیفون اینه که تکنولوژی رو فیلتر نمیکنه ٬برنامه ای که قابل نصب برا همه قابل نصب و برعکس خیلی حال داد دو هفته ست دارم روش کار میکنم,happiness
یکی از بزرگترین خطوط انتقال #بنزین ۱۰سال نشتی داشتهاست و مسئولان متوجه این واقعه نشدند !!,surprise
درود میفرستم به شهامت، شجاعت و فداکاری هممیهنانی که در چهارگوشه مملکت برای احقاق حقوقشان مبارزه میکنند: از کشاورزان #اصفهان و بازاریان #بانه و #مریوان تا زنان معترض به #حجاب_اجباری و شهروندان #کازرون. حامی و پشتیبانتان هستم و آرزوی پیروزی برایتان دارم. #ایران_را_پس_میگیریم,happiness
گل بزنیم فیلم شادی پس از گلم براتون میزارم #پرسپولیس_کاشیما,happiness
امروز شنبه براتون یه حال خوب آرزو دارم آرزو دارم امروزتون پر باشه از خبرهای خوب سلام روزتون بخیر و سرشار از شادی,happiness
بنده به عنوان قطره کوچکی در دریای بیکران هم وطنان عزیزم با رژیم غاصب و کودک کش و بی رحم و وحشی اسرائیل دشمنی دارم و انشالله که به زودی زود ریشه کن بشه و نیست و نابود و محو بشه...  …,hate
